Model,Degree,Lam,Eta,Iterations,Minibatch-Size,In-sample Error,Out-sample Error
NonSGD,1,0.1,1e-05,100,20,5,4
NonSGD,1,0.1,2e-05,100,20,5,4
NonSGD,1,0.1,3.0000000000000004e-05,100,20,5,4
NonSGD,1,0.1,4e-05,100,20,5,4
NonSGD,1,0.1,5e-05,100,20,5,4
NonSGD,1,0.1,6.000000000000001e-05,100,20,5,4
NonSGD,1,0.1,7.000000000000001e-05,100,20,5,4
NonSGD,1,0.1,8e-05,100,20,5,4
NonSGD,1,0.1,9e-05,100,20,5,4
NonSGD,1,0.1,0.0001,100,20,5,4
NonSGD,1,0.1,0.00011,100,20,5,4
NonSGD,1,0.1,0.00012000000000000002,100,20,5,4
NonSGD,1,0.1,0.00013000000000000002,100,20,5,4
NonSGD,1,0.1,0.00014000000000000001,100,20,5,4
NonSGD,1,0.1,0.00015000000000000001,100,20,5,4
NonSGD,1,0.1,0.00016,100,20,5,4
NonSGD,1,0.1,0.00017,100,20,5,4
NonSGD,1,0.1,0.00018,100,20,5,4
NonSGD,1,0.1,0.00019,100,20,5,4
NonSGD,1,0.1,0.0002,100,20,5,4
NonSGD,1,0.1,0.00021,100,20,5,4
NonSGD,1,0.1,0.00022,100,20,5,4
NonSGD,1,0.1,0.00023,100,20,5,4
NonSGD,1,0.1,0.00024000000000000003,100,20,5,4
NonSGD,1,0.1,0.00025,100,20,5,4
NonSGD,1,0.1,0.00026000000000000003,100,20,5,4
NonSGD,1,0.1,0.00027,100,20,5,4
NonSGD,1,0.1,0.00028000000000000003,100,20,5,4
NonSGD,1,0.1,0.00029,100,20,5,4
NonSGD,1,0.1,0.00030000000000000003,100,20,5,4
NonSGD,1,0.1,0.00031,100,20,5,4
NonSGD,1,0.1,0.00032,100,20,5,4
NonSGD,1,0.1,0.00033000000000000005,100,20,5,4
NonSGD,1,0.1,0.00034,100,20,5,4
NonSGD,1,0.1,0.00035000000000000005,100,20,5,4
NonSGD,1,0.1,0.00036,100,20,5,4
NonSGD,1,0.1,0.00037000000000000005,100,20,5,4
NonSGD,1,0.1,0.00038,100,20,5,4
NonSGD,1,0.1,0.00039000000000000005,100,20,5,4
NonSGD,1,0.1,0.0004,100,20,5,4
NonSGD,1,0.1,0.00041000000000000005,100,20,5,4
NonSGD,1,0.1,0.00042,100,20,5,4
NonSGD,1,0.1,0.00043000000000000004,100,20,5,4
NonSGD,1,0.1,0.00044,100,20,5,4
NonSGD,1,0.1,0.00045000000000000004,100,20,5,4
NonSGD,1,0.1,0.00046,100,20,5,4
NonSGD,1,0.1,0.00047000000000000004,100,20,5,4
NonSGD,1,0.1,0.00048000000000000007,100,20,5,4
NonSGD,1,0.1,0.0004900000000000001,100,20,5,4
NonSGD,1,0.1,0.0005,100,20,5,4
NonSGD,1,0.1,0.00051,100,20,5,4
NonSGD,1,0.1,0.0005200000000000001,100,20,5,4
NonSGD,1,0.1,0.0005300000000000001,100,20,5,4
NonSGD,1,0.1,0.00054,100,20,5,4
NonSGD,1,0.1,0.00055,100,20,5,4
NonSGD,1,0.1,0.0005600000000000001,100,20,5,4
NonSGD,1,0.1,0.0005700000000000001,100,20,5,4
NonSGD,1,0.1,0.00058,100,20,5,4
NonSGD,1,0.1,0.00059,100,20,5,4
NonSGD,1,0.1,0.0006000000000000001,100,20,5,4
NonSGD,1,0.1,0.0006100000000000001,100,20,5,4
NonSGD,1,0.1,0.00062,100,20,5,4
NonSGD,1,0.1,0.00063,100,20,5,4
NonSGD,1,0.1,0.00064,100,20,5,4
NonSGD,1,0.1,0.0006500000000000001,100,20,5,4
NonSGD,1,0.1,0.0006600000000000001,100,20,5,4
NonSGD,1,0.1,0.00067,100,20,5,4
NonSGD,1,0.1,0.00068,100,20,5,4
NonSGD,1,0.1,0.0006900000000000001,100,20,5,4
NonSGD,1,0.1,0.0007000000000000001,100,20,5,4
NonSGD,1,0.1,0.00071,100,20,5,4
NonSGD,1,0.1,0.00072,100,20,5,4
NonSGD,1,0.1,0.0007300000000000001,100,20,5,4
NonSGD,1,0.1,0.0007400000000000001,100,20,5,4
NonSGD,1,0.1,0.00075,100,20,5,4
NonSGD,1,0.1,0.00076,100,20,5,4
NonSGD,1,0.1,0.0007700000000000001,100,20,5,4
NonSGD,1,0.1,0.0007800000000000001,100,20,5,4
NonSGD,1,0.1,0.00079,100,20,5,4
NonSGD,1,0.1,0.0008,100,20,5,4
NonSGD,1,0.1,0.0008100000000000001,100,20,5,4
NonSGD,1,0.1,0.0008200000000000001,100,20,5,4
NonSGD,1,0.1,0.0008300000000000001,100,20,5,4
NonSGD,1,0.1,0.00084,100,20,5,4
NonSGD,1,0.1,0.0008500000000000001,100,20,5,4
NonSGD,1,0.1,0.0008600000000000001,100,20,5,4
NonSGD,1,0.1,0.0008700000000000001,100,20,5,4
NonSGD,1,0.1,0.00088,100,20,5,4
NonSGD,1,0.1,0.0008900000000000001,100,20,5,4
NonSGD,1,0.1,0.0009000000000000001,100,20,5,4
NonSGD,1,0.1,0.0009100000000000001,100,20,5,4
NonSGD,1,0.1,0.00092,100,20,5,4
NonSGD,1,0.1,0.00093,100,20,5,4
NonSGD,1,0.1,0.0009400000000000001,100,20,5,4
NonSGD,1,0.1,0.0009500000000000001,100,20,5,4
NonSGD,1,0.1,0.0009600000000000001,100,20,5,4
NonSGD,1,0.1,0.00097,100,20,5,4
NonSGD,1,0.1,0.0009800000000000002,100,20,5,4
NonSGD,1,0.1,0.00099,100,20,5,4
